	Unnamed: 0	S1	S2	Label	jacc	jacc-lemm	jacc-lemm-sw	ngram2-sw	ngram3-sw	ngram4-sw	ngram2	ngram3	ngram4	info	glove-mean	jaro-winkler	edit-distance	lcs-lemm	depend	synset	overlap	all_comm	adj_comm	adv_comm	noun_comm	verb_comm	bow	lcs	bow-rfr
0	0	A man with a hard hat is dancing	A man wearing a hard hat is dancing	5.0	0.75	0.75	0.8	0.5555555555555556	0.33333333333333337	0.25	0.4	0.25	0.0	1.0	4.939153343439101	0.89	0.14285714285714285	0.6249218847644045	0.5555555555555556	0.8	0.8887901344295079	0.0	0.0	0.0	0.0	0.2	3.669450490663847	1.0	3.1693099999999994
1	1	A plane is taking off	An air plane is taking off	5.0	0.5714285714285714	0.5714285714285714	0.6666666666666667	0.5	0.4	0.25	0.5	0.0	0.0	1.0	4.610114544630051	0.83	0.19230769230769232	0.6665555740709881	0.5	0.6666666666666667	0.7998400319936012	0.09090909090909093	0.0	0.0	0.3333333333333333	0.0	3.25302325495595	1.0	3.51432
2	2	A young child is riding a horse	A child is riding a horse	4.75	0.8333333333333334	0.8333333333333334	0.75	0.5714285714285714	0.5	0.4	0.6666666666666667	0.5	0.0	0.8240084482820162	4.920677840709686	0.86	0.1935483870967742	0.7141836880445649	0.8333333333333334	0.4	0.857020425653478	0.07692307692307693	1.0	0.0	0.0	0.0	3.363794941929628	1.0	2.8970000000000016
3	3	A man is feeding a mouse to a snake	The man is feeding a mouse to the snake	5.0	0.875	0.875	1.0	0.4545454545454546	0.4	0.33333333333333337	1.0	1.0	1.0	1.0	4.895215630531312	0.86	0.15384615384615385	0.6665926008221309	0.6	1.0	0.9998750156230471	0.0	0.0	0.0	0.0	0.0	4.018925455929527	1.0	3.1455300000000004
4	4	A man is playing a large flute	A man is playing a flute	3.8	0.8333333333333334	0.8333333333333334	0.75	0.5714285714285714	0.5	0.4	0.25	0.0	0.0	1.0	4.906117320060731	0.94	0.2	0.7141836880445649	0.8333333333333334	0.75	0.857020425653478	0.07692307692307693	1.0	0.0	0.0	0.0	4.158714796248583	1.0	2.6879249999999995
5	5	A man is spreading shreded cheese on a pizza	A man is spreading shredded cheese on an uncooked pizza	3.8	0.6363636363636364	0.8	0.5714285714285714	0.3076923076923077	0.15384615384615385	0.08333333333333337	0.125	0.0	0.0	1.0	4.740061312913895	0.96	0.2	0.6999300069993001	0.5454545454545454	0.8333333333333334	0.909008271975275	0.05263157894736842	1.0	0.0	0.0	0.0	3.9746691549434643	1.0	2.8407400000000007
6	6	Three men are playing chess	Two men are playing chess	2.6	0.6666666666666667	0.6666666666666667	0.6	0.6	0.5	0.33333333333333337	0.5	0.33333333333333337	0.0	1.0	4.986268877983092	0.81	0.14814814814814814	0.7998400319936012	0.6	1.0	0.9998333611064822	0.0	0.0	0.0	0.0	0.0	3.122215246823136	1.0	2.660909999999999
7	7	A woman is playing the guitar	A man is playing guitar	2.4	0.5714285714285714	0.5714285714285714	0.5	0.125	0.0	0.0	0.33333333333333337	0.0	0.0	0.84546284466587	4.912986308336258	0.92	0.20689655172413796	0.33327778703549404	0.2857142857142857	0.5	0.6665555740709881	0.09090909090909093	0.0	0.0	0.0	0.0	2.2548210076968958	1.0	3.17055
8	8	A woman is playing the flute	A man is playing a flute	2.75	0.5714285714285714	0.5714285714285714	0.5	0.11111111111111116	0.0	0.0	0.33333333333333337	0.0	0.0	0.84546284466587	4.903360158205032	0.91	0.17857142857142858	0.33327778703549404	0.25	0.5	0.6665555740709881	0.0	0.0	0.0	0.0	0.0	3.3501533441641254	1.0	2.723745
9	9	A man is playing the cello	A man seated is playing the cello	4.25	0.8571428571428572	0.8571428571428572	0.75	0.5714285714285714	0.2857142857142857	0.16666666666666666	0.25	0.0	0.0	1.0	4.868544191122054	0.9	0.21212121212121213	0.571346950435652	0.8333333333333334	0.75	0.857020425653478	0.07692307692307693	0.0	0.0	0.0	0.2	2.4564478487794714	1.0	2.3261299999999996
10	10	A woman is cutting an onion	A man is cutting onions	2.615	0.375	0.5714285714285714	0.5	0.125	0.0	0.0	0.0	0.0	0.0	0.84546284466587	4.7200387716293335	0.91	0.2222222222222222	0.33327778703549404	0.125	0.5	0.6665555740709881	0.09090909090909093	0.0	0.0	0.0	0.0	3.632869238272269	1.0	2.8172766666666678
